"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
2.65,-0.902210944993551
2.655,-0.875051040811784
2.66,-0.847997657741951
2.665,-0.821328822890013
2.67,-0.795311551470476
2.675,-0.770198521350762
2.68,-0.746225241201816
2.685,-0.72360775405169
2.69,-0.702540895268423
2.695,-0.683197102712019
2.7,-0.665725757968691
2.705,-0.65025302190079
2.71,-0.636882115602632
2.715,-0.625693989363336
2.72,-0.616748317273478
2.725,-0.610084753365477
2.73,-0.605724386200368
2.735,-0.603671332087103
2.74,-0.603914412095404
2.745,-0.606428864164549
2.75,-0.611178048427255
2.755,-0.618115110935932
2.76,-0.627184577946149
2.765,-0.6383238595139
2.77,-0.651464647203506
2.775,-0.666534196061221
2.78,-0.683456485623376
2.785,-0.702153258581375
2.79,-0.722544938844522
2.795,-0.744551433173462
2.8,-0.768092822370552
2.805,-0.793089949284846
2.81,-0.819464911698931
2.815,-0.84714146859207
2.82,-0.876045368391625
2.825,-0.906104607702584
2.83,-0.937249628699839
2.835,-0.969413462933304
2.84,-1.00253182877348
2.845,-1.03654318915076
2.85,-1.07138877564183
2.855,-1.10701258435655
2.86,-1.14336134848887
2.865,-1.18038449183516
2.87,-1.21803406705309
2.875,-1.25626468194546
2.88,-1.29503341660333
2.885,-1.33429973383803
2.89,-1.37402538496448
2.895,-1.41417431267524
2.9,-1.45471255245626
2.905,-1.49560813374417
2.91,-1.53683098180487
2.915,-1.5783528211241
2.92,-1.62014708093606
2.925,-1.6621888033775
2.93,-1.70445455463501
2.935,-1.74692233935395
2.94,-1.78957151849257
2.945,-1.83238273073629
2.95,-1.87533781752801
2.955,-1.91841975172473
2.96,-1.96161256985184
2.965,-2.00490130789661
2.97,-2.04827194055859
2.975,-2.09171132385632
2.98,-2.13520714097657
2.985,-2.17874785124185
2.99,-2.22232264206667
2.995,-2.26592138376793
3,-2.30953458709399
