SimulationIndex,SimulationID,f0_GHz,S11ReportFreq_GHz,S11SweepSampleFreq_GHz,S11SweepSample_dB,S11_Source,Gmain_Source,MainPlane,Gmain_dBi,Gmain_Cut_dBi,PeakGain_dBi,PeakRealizedGain_dBi,FrontToBackRatio_dB,SLL_dB,HPBW_deg,SideLobeSuppression_dB,MainLobeTheta_deg,SideLobeTheta_deg,SideLobeGain_dBi,S11_f0_dB,AbsS11_f0_dB,AbsS11_f0_Linear,Objective1_Neg_Gmain,Objective2_SLL,Objective3_HPBW,Objective4_AbsS11,Gmain_Phi0_dBi,SLL_Phi0_dB,HPBW_Phi0_deg,Gmain_Phi90_dBi,SLL_Phi90_dB,HPBW_Phi90_deg,Ldir,Ldri,L1,Sdir,Sref,Wdri
86,sim_086,2.25,2.25,2.25,-5.17174695510016,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.7535597428916,3.49420580813221,3.7535597428916,2.17986299646958,10.8087789569593,-10.4740436952893,NaN,10.4740436952893,0,146,-6.97983788715708,-5.17174695510016,5.17174695510016,0.551331304369236,-3.7535597428916,-10.4740436952893,NaN,0.551331304369236,3.49420580813221,-0.0176961618565099,NaN,3.49420580813221,-10.4740436952893,NaN,14.5629973088496,41.1941354319456,15.1745902609101,16.8511922168261,19.0220166797269,3.00184771767727
87,sim_087,2.25,2.25,2.25,-4.57893557122713,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.5945421592971,3.41570383216352,3.5945421592971,1.73420161105736,13.184409018467,-10.4061744429965,NaN,10.4061744429965,0,152,-6.99047061083296,-4.57893557122713,4.57893557122713,0.590273411911355,-3.5945421592971,-10.4061744429965,NaN,0.590273411911355,3.41570383216352,-0.0216318851769701,NaN,3.41570383216352,-10.4061744429965,NaN,16.5731921050582,41.3645946275075,16.0844855414133,15.3673072011804,17.1885237094952,2.60024705829661
88,sim_088,2.25,2.25,2.25,-4.19934388816036,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.07732461890593,3.87630024700621,4.07732461890593,1.99951213190524,23.5811548564545,-11.1520049069959,NaN,11.1520049069959,0,146,-7.27570465998968,-4.19934388816036,4.19934388816036,0.616641579768618,-4.07732461890593,-11.1520049069959,NaN,0.616641579768618,3.8763002470062,-19.8344647019089,NaN,3.87630024700621,-11.1520049069959,NaN,16.9103718988502,42.9588993734663,17.3453810946355,17.303552102458,19.5449273103307,3.91205364662874
89,sim_089,2.25,2.25,2.25,-4.70265736595877,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.87849165767895,3.39892991216323,3.87849165767895,2.08289134452001,11.2822725440091,-11.3372088816276,NaN,11.3372088816276,0,150,-7.93827896946438,-4.70265736595877,4.70265736595877,0.581925156024733,-3.87849165767895,-11.3372088816276,NaN,0.581925156024733,3.39892991216322,-0.02294352536433,NaN,3.39892991216323,-11.3372088816276,NaN,17.2994594910953,46.6397421096763,16.1934606233001,13.0822226873058,18.352654377141,3.68712966127517
90,sim_090,2.25,2.25,2.25,-0.709000508128774,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,5.57308592219594,5.43676570904435,5.57308592219594,-2.64797027021572,6.14274695530802,-8.31685586863429,NaN,8.31685586863429,26,128,-2.88009015958994,-0.709000508128774,0.709000508128774,0.921615933674041,-5.57308592219594,-8.31685586863429,NaN,0.921615933674041,4.13035843135005,-0.0349676192659398,NaN,5.43676570904435,-8.31685586863429,NaN,17.0329798298542,43.9199822067034,16.1495498439545,16.0918165028095,22.2222721521203,3.30154825633934
91,sim_091,2.25,2.25,2.25,-3.73894169527663,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.77508979110362,4.37204059514857,4.77508979110362,2.38856651370483,22.8051106094648,-12.3141566727157,NaN,12.3141566727157,10,140,-7.94211607756715,-3.73894169527663,3.73894169527663,0.65020890816282,-4.77508979110362,-12.3141566727157,NaN,0.65020890816282,4.32466492428346,-0.0295190558556602,NaN,4.37204059514857,-12.3141566727157,NaN,18.476006611507,46.0650747270685,14.7924743282533,16.7401018236889,21.9249338872713,4.40584262533468
92,sim_092,2.25,2.25,2.25,-5.35745864375928,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.21577480709253,4.04128628470309,4.21577480709253,2.72075400893894,35.7671180224643,-12.5454220039927,NaN,12.5454220039927,0,152,-8.50413571928959,-5.35745864375928,5.35745864375928,0.539668498028608,-4.21577480709253,-12.5454220039927,NaN,0.539668498028608,4.04128628470308,-0.0238725847002499,NaN,4.04128628470309,-12.5454220039927,NaN,16.6290759541745,45.9995082888613,17.3647288986528,17.646620306758,19.3546950554025,2.62070867504131
93,sim_093,2.25,2.25,2.25,-1.16905736194209,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,5.19749021151021,4.88717998563797,5.19749021151021,-1.07341906382479,10.7328062209407,-11.2699455460132,NaN,11.2699455460132,26,134,-6.38276556037522,-1.16905736194209,1.16905736194209,0.874071846280289,-5.19749021151021,-11.2699455460132,NaN,0.874071846280289,4.13449881090519,-0.0355570073101701,NaN,4.88717998563797,-11.2699455460132,NaN,18.4086478300757,46.7362693979569,17.76354247509,13.890039017061,21.6137192616165,3.22862731958291
94,sim_094,2.25,2.25,2.25,-3.36619795261308,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.58765853246279,4.21596229750577,4.58765853246279,1.90628739028737,33.5805180895175,-12.3119722137175,NaN,12.3119722137175,4,144,-8.09600991621177,-3.36619795261308,3.36619795261308,0.678719149101569,-4.58765853246279,-12.3119722137175,NaN,0.678719149101569,4.21067873394046,-0.0284638110450404,NaN,4.21596229750577,-12.3119722137175,NaN,17.896506275908,45.4867384977472,18.216592867714,17.3756753901298,20.9285430148828,4.23443170799645
95,sim_095,2.25,2.25,2.25,-4.48770364437318,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.61128546722125,3.24794390974122,3.61128546722125,1.70136181355707,9.99367930923182,-9.57505747880421,NaN,9.57505747880421,0,150,-6.32711356906299,-4.48770364437318,4.48770364437318,0.596506001881207,-3.61128546722125,-9.57505747880421,NaN,0.596506001881207,3.24794390974122,-0.0130385428855,NaN,3.24794390974122,-9.57505747880421,NaN,14.8216693962972,40.2386371413618,16.5153384333587,16.4742745216446,17.2779655006514,4.03197647564199
