f0_GHz,S11ReportFreq_GHz,S11SweepSampleFreq_GHz,S11SweepSample_dB,S11_f0_dB,AbsS11_f0_dB,AbsS11_f0_Linear,S11_Source,PeakGain_dBi,PeakRealizedGain_dBi,FrontToBackRatio_dB,Gmain_Source,Ldir,Ldri,L1,Sdir,Sref,Wdri,SimulationIndex,SimulationID
2.25,2.25,2.25,-4.51673055275795,-4.51673055275795,4.51673055275795,0.594515897653078,ATK_OBJ_S11_F0,4.23086742206562,2.33689427483723,20.0200486127134,ATK_OBJ_PeakGain,16.9746066172571,41.3667336402665,14.8397220848379,16.5501349869897,21.5830966434712,3.14075639383854,22,sim_022
2.25,2.25,2.25,-3.48399501710283,-3.48399501710283,3.48399501710283,0.669576571296416,ATK_OBJ_S11_F0,3.59068051798076,1.00745226994849,10.6022649689021,ATK_OBJ_PeakGain,15.9297721794761,40.0171349496212,17.2605998390054,14.8379875664437,19.3214763954107,3.52112047300093,23,sim_023
2.25,2.25,2.25,-5.02601062167947,-5.02601062167947,5.02601062167947,0.560659866035368,ATK_OBJ_S11_F0,3.53239213922067,1.89348354232392,5.76568572977912,ATK_OBJ_PeakGain,17.3315705012205,45.5717378638622,16.6307132838133,12.0316792847216,16.8314889570456,3.36414788331844,24,sim_024
2.25,2.25,2.25,-5.14871383832195,-5.14871383832195,5.14871383832195,0.552795256951053,ATK_OBJ_S11_F0,4.68814121328197,3.10434718173653,23.9341165820312,ATK_OBJ_PeakGain,16.7247456715954,45.3593079311641,15.381741544398,17.7016902905563,21.7227330052624,2.689043760404,25,sim_025
2.25,2.25,2.25,-4.89613722596884,-4.89613722596884,4.89613722596884,0.569105966410004,ATK_OBJ_S11_F0,3.84191112106886,2.14213866522436,13.3063384382689,ATK_OBJ_PeakGain,15.3691769765636,41.2671922959818,15.5960418288111,16.3545750191101,19.3078211109433,2.82738628566556,26,sim_026
2.25,2.25,2.25,-4.49423535643283,-4.49423535643283,4.49423535643283,0.596057603269253,ATK_OBJ_S11_F0,3.7759260098253,1.86960600357782,14.0161140508804,ATK_OBJ_PeakGain,16.8192617707857,41.6851280218715,15.419782898194,17.160588632003,17.6472325216551,3.9393216512437,27,sim_027
2.25,2.25,2.25,-3.04129490418384,-3.04129490418384,3.04129490418384,0.704588020201204,ATK_OBJ_S11_F0,4.43909147702821,1.45956682823808,11.5159897033323,ATK_OBJ_PeakGain,16.7109361143748,46.0266175261065,15.601338925168,12.5530552663709,21.9852410730592,4.11981304519086,28,sim_028
2.25,2.25,2.25,-5.17738125874662,-5.17738125874662,5.17738125874662,0.55097378650785,ATK_OBJ_S11_F0,4.09175139027501,2.52051291975174,15.3919195982833,ATK_OBJ_PeakGain,15.3904227166161,41.4714928343819,15.6587879672377,17.4249666442585,20.6657163829227,2.75091702112601,29,sim_029
2.25,2.25,2.25,-4.05668077070838,-4.05668077070838,4.05668077070838,0.626853364900131,ATK_OBJ_S11_F0,3.36923037462337,1.20150977049649,10.7207392543484,ATK_OBJ_PeakGain,16.3046318877342,43.6622319270901,18.1603635506727,14.9285217051436,16.6789083660285,3.04777907777732,30,sim_030
2.25,2.25,2.25,-4.67498636812309,-4.67498636812309,4.67498636812309,0.583781975162878,ATK_OBJ_S11_F0,4.27913981429499,2.46930261375866,12.6300016472642,ATK_OBJ_PeakGain,16.0297779548784,44.7348653399558,14.6536767722749,14.2056038824593,20.0546669935848,3.92153628716586,31,sim_031
2.25,2.25,2.25,-6.17291650091925,-6.17291650091925,6.17291650091925,0.491308383635292,ATK_OBJ_S11_F0,3.89824110864908,2.69846150366218,11.8848485027426,ATK_OBJ_PeakGain,15.0924812017635,45.6188508837316,17.1356747296017,15.895916046688,18.9966093030171,2.27407322547522,32,sim_032
2.25,2.25,2.25,-0.898148288620488,-0.898148288620488,0.898148288620488,0.9017633605755,ATK_OBJ_S11_F0,3.98208788957427,-3.30361237750192,5.3623784439258,ATK_OBJ_PeakGain,16.1135827108173,42.1243307063806,16.2306827513577,14.6429309375448,16.6867862592252,4.44365798248077,33,sim_033
2.25,2.25,2.25,-3.61075259611793,-3.61075259611793,3.61075259611793,0.659876056277818,ATK_OBJ_S11_F0,4.46441617127917,1.9815448346552,28.45284412371,ATK_OBJ_PeakGain,17.5279103043134,45.0924690604719,16.2777071890186,17.2172415660956,20.4461036341354,4.25818603623062,34,sim_034
