"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
2.47,-0.735196509820243
2.475,-0.765045044084983
2.48,-0.79491975208589
2.485,-0.824502404345638
2.49,-0.853490273561445
2.495,-0.88159879391939
2.5,-0.908565368738905
2.505,-0.934154400922555
2.51,-0.958163426692556
2.515,-0.980429949663714
2.52,-1.0008382201346
2.525,-1.01932484684106
2.53,-1.03588187650298
2.535,-1.05055597193973
2.54,-1.06344268534931
2.545,-1.07467559156638
2.55,-1.08441109543447
2.555,-1.09281077939852
2.56,-1.1000238616972
2.565,-1.10617242082949
2.57,-1.11134145300831
2.575,-1.11557476277432
2.58,-1.11887649914704
2.585,-1.1212171928514
2.59,-1.12254263432087
2.595,-1.12278387926058
2.6,-1.12186695761609
2.605,-1.11972131631111
2.61,-1.11628649012377
2.615,-1.11151687140798
2.62,-1.10538470184281
2.625,-1.09788154494003
2.63,-1.08901854481634
2.635,-1.07882576727244
2.64,-1.06735088105191
2.645,-1.05465738954654
2.65,-1.04082257753367
2.655,-1.02593529910112
2.66,-1.0100937031511
2.665,-0.993402971010659
2.67,-0.975973125007082
2.675,-0.957916955492506
2.68,-0.939348105042735
2.685,-0.920379341127284
2.69,-0.901121041601186
2.695,-0.881679910446887
2.7,-0.862157934160641
2.705,-0.842651582120507
2.71,-0.823251247420342
2.715,-0.80404091829608
2.72,-0.7850980646905
2.725,-0.766493719939319
2.73,-0.748292734173563
2.735,-0.730554173894143
2.74,-0.713331841268215
2.745,-0.696674886934818
2.75,-0.680628491342407
2.755,-0.665234591689717
2.76,-0.650532634206529
2.765,-0.636560334594021
2.77,-0.623354432768759
2.775,-0.610951431466157
2.78,-0.599388311642461
2.785,-0.588703220888745
2.79,-0.578936134191995
2.795,-0.57012948934154
2.8,-0.562328802109554
2.805,-0.555583269090616
2.81,-0.549946368855416
2.815,-0.54547647497654
2.82,-0.542237497671146
2.825,-0.540299574467875
2.83,-0.539739834682675
2.835,-0.540643267884846
2.84,-0.543103733342505
2.845,-0.547225156167187
2.85,-0.55312296720941
2.855,-0.560925858603823
2.86,-0.570777946466309
2.865,-0.582841458315424
2.87,-0.597300097702108
2.875,-0.614363285614023
2.88,-0.634271542182355
2.885,-0.657303359770142
2.89,-0.683784039302664
2.895,-0.714097129659474
2.9,-0.748699345394611
2.905,-0.788140170717901
2.91,-0.833087831225094
2.915,-0.884363993467273
2.92,-0.942990529908098
2.925,-1.01025309839428
2.93,-1.08778832008133
2.935,-1.1777042450334
2.94,-1.28274784391829
2.945,-1.40653860804025
2.95,-1.55389351514387
2.955,-1.73127310369551
2.96,-1.94737258567789
2.965,-2.21384024521688
2.97,-2.54595693082586
2.975,-2.96266987634602
2.98,-3.484199552349
2.985,-4.12270246191305
2.99,-4.85691012277944
2.995,-5.58290914197537
3,-6.07593982693085
