"Freq [GHz]","dB(St11) []"
1.01475,-4.24648258764472
1.017,-4.20252967927383
1.01925,-4.15956963755918
1.0215,-4.11757277572278
1.02375,-4.07651049240736
1.026,-4.03635522460296
1.02825,-3.99708040293529
1.0305,-3.95866040918152
1.03275,-3.92107053588707
1.035,-3.88428694796554
1.03725,-3.84828664617111
1.0395,-3.81304743233962
1.04175,-3.77854787630102
1.044,-3.74476728437207
1.04625,-3.7116856693434
1.0485,-3.67928372188063
1.05075,-3.6475427832638
1.053,-3.61644481939417
1.05525,-3.58597239600141
1.0575,-3.55610865498837
1.05975,-3.52683729185429
1.062,-3.49814253414059
1.06425,-3.47000912084679
1.0665,-3.44242228276718
1.06875,-3.41536772370137
1.071,-3.38883160249488
1.07325,-3.36280051586828
1.0755,-3.33726148199545
1.07775,-3.31220192479423
1.08,-3.28760965889435
1.08225,-3.26347287524953
1.0845,-3.23978012736271
1.08675,-3.21652031809463
1.089,-3.19368268702801
1.09125,-3.17125679836075
1.0935,-3.14923252930313
1.09575,-3.12760005895533
1.098,-3.10634985764273
1.10025,-3.08547267668778
1.1025,-3.0649595385981
1.10475,-3.04480172765188
1.107,-3.02499078086216
1.10925,-3.00551847930301
1.1115,-2.98637683978099
1.11375,-2.96755810683656
1.116,-2.94905474506063
1.11825,-2.93085943171208
1.1205,-2.91296504962317
1.12275,-2.89536468038
1.125,-2.87805159776601
1.12725,-2.86101926145707
1.1295,-2.8442613109573
1.13175,-2.82777155976516
1.134,-2.81154398976006
1.13625,-2.79557274579985
1.1385,-2.77985213052055
1.14075,-2.76437659932955
1.143,-2.74914075558418
1.14525,-2.73413934594802
1.1475,-2.7193672559174
1.14975,-2.70481950551114
1.152,-2.69049124511684
1.15425,-2.67637775148709
1.1565,-2.66247442387982
1.15875,-2.64877678033664
1.161,-2.6352804540937
1.16325,-2.62198119011982
1.1655,-2.60887484177669
1.16775,-2.59595736759626
1.17,-2.58322482817079
1.17225,-2.57067338315107
1.1745,-2.55829928834841
1.17675,-2.54609889293664
1.179,-2.53406863674991
1.18125,-2.52220504767281
1.1835,-2.51050473911918
1.18575,-2.4989644075961
1.188,-2.48758083034999
1.19025,-2.47635086309154
1.1925,-2.46527143779657
1.19475,-2.45433956057996
1.197,-2.44355230963977
1.19925,-2.43290683326918
1.2015,-2.42240034793348
1.20375,-2.4120301364098
1.206,-2.40179354598732
1.20825,-2.39168798672566
1.2105,-2.3817109297693
1.21275,-2.3718599057161
1.215,-2.36213250303784
1.21725,-2.35252636655098
1.2195,-2.3430391959358
1.22175,-2.3336687443022
1.224,-2.32441281680046
1.22625,-2.31526926927545
1.2285,-2.30623600696264
1.23075,-2.2973109832245
1.233,-2.28849219832594
1.23525,-2.27977769824723
